station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other,q_assigned_pre,q_assigned_fixed,delta_q_simulated_fixed,delta_q_residual
4065,ROGER DE LLÚRIA - CASP  (sentit muntanya),250_500m,15439.42857142857,10981.708333333334,-4457.720238095237,47004,0.8,True,12477.28144583995,12544.940229250644,67.65878341069401,-4525.379021505931
2014,TARRAGONA - CONSELL DE CENT (calçada Besòs),500_1000m,25912.714285714286,23427.869565217392,-2484.8447204968943,33250,0.6,False,36998.25423980292,36998.25423980292,0.0,-2484.8447204968943
3018,COMTE URGELL- FLORIDABLANCA,250_500m,13264.857142857143,10563.0,-2701.857142857143,30308,1.8,False,587.9794042456821,587.9794042456821,0.0,-2701.857142857143
3013,VILLARROEL - GRAN VIA  (sentit mar),250_500m,7746.666666666667,9282.95652173913,1536.289855072463,29076,1.1,False,6395.8867504897635,5750.517541046344,-645.3692094434191,2181.659064515882
4082,GRAN VIA - NÀPOLS (sentit Besós),250_500m,47159.0,45577.545454545456,-1581.454545454544,14748,19.1,True,0.0,0.0,0.0,-1581.454545454544
4063,VALÈNCIA - PAU CLARIS,250_500m,26823.0,26552.875,-270.125,30090,1.1,True,15986.926822574937,15986.926822574937,0.0,-270.125
4009,PG. SANT JOAN - CASP (Baixada),250_500m,8892.0,10145.791666666666,1253.791666666666,57886,10.3,False,736.3460774020301,1282.4664489507138,546.1203715486837,707.6712951179824
4042,ROSSELLÓ - AV. DIAGONAL (sentit Besòs),250_500m,17729.166666666668,16556.5,-1172.666666666668,1156,2.4,False,3062.4327796706275,3062.4327796706275,0.0,-1172.666666666668
4073,VALÈNCIA - RAMBLA DE CATALUNYA,250_500m,28240.85714285714,26879.70833333333,-1361.1488095238092,32183,0.6,True,19438.132963954424,19438.132963954424,0.0,-1361.1488095238092
4023,GRAN VIA - VILLARROEL (sentit Besòs),250_500m,46801.4,44731.65217391304,-2069.747826086961,40779,1.2,True,35244.37291569305,35244.37291569305,0.0,-2069.747826086961
4060,PG. SANT JOAN - AUSIÀS MARC (Pujada),250_500m,2742.428571428572,4064.7916666666665,1322.363095238095,40864,10.5,False,535.2060727826944,535.2060727826944,0.0,1322.363095238095
4097,PG. GRÀCIA - CASP (Pujada),250_500m,5709.0,7324.761904761905,1615.7619047619046,23401,2.4,False,0.0,0.0,0.0,1615.7619047619046
4027,MUNTANER - MALLORCA  (sentit mar),250_500m,19132.0,14804.869565217392,-4327.130434782608,43007,2.5,False,31572.700411069192,40432.739496350696,8860.039085281504,-13187.169520064112
2005,ENTENÇA - PROVENÇA  (sentit muntanya),250_500m,14695.285714285714,13690.833333333334,-1004.4523809523798,55028,0.6,False,16947.873923259427,16947.873923259427,0.0,-1004.4523809523798
2003,TARRAGONA - VALÈNCIA  (sentit mar),250_500m,8888.0,8512.095238095239,-375.9047619047615,51930,2.8,False,16132.468298209993,16132.468298209993,0.0,-375.9047619047615
4008,MALLORCA - CASANOVA  (sentit Llobregat),250_500m,24596.85714285714,13383.111111111111,-11213.74603174603,47393,2.7,False,22434.257661847572,13574.218576566087,-8860.039085281485,-2353.7069464645447
3015,CASANOVA - SEPÚLVEDA  (sentit muntanya),250_500m,5281.333333333333,5407.733333333334,126.40000000000056,42015,0.3,False,159.97746504604797,159.97746504604797,0.0,126.40000000000056
3014,SEPÚLVEDA - CASANOVA  (sentit Llobregat),250_500m,17571.5,19828.636363636364,2257.136363636364,5199,0.1,False,24356.36932179608,53799.31357979816,29442.94425800208,-27185.807894365716
4044,PAU CLARIS - PROVENÇA  (sentit mar),250_500m,18347.85714285714,16477.25,-1870.6071428571413,51289,0.8,True,27576.89016924837,35194.56391222653,7617.673742978157,-9488.280885835298
4013,SARDENYA - CONSELL DE CENT  (sentit mar),250_500m,7456.666666666667,6312.105263157895,-1144.561403508772,40278,1.7,False,4595.910652594587,4595.910652594587,0.0,-1144.561403508772
5011,RONDA UNIVERSITAT - PL. CATALUNYA  (sentit Llobregat),250_500m,24209.571428571428,23030.727272727272,-1178.8441558441557,6301,1.7,True,20253.443644595856,20253.443644595856,0.0,-1178.8441558441557
3020,AV. PARAL·LEL - LLEIDA (Baixada),500_1000m,10783.714285714286,12382.666666666666,1598.9523809523798,44831,15.7,False,5713.87250427643,5713.87250427643,0.0,1598.9523809523798
4091,PAU CLARIS - CASP (sentit mar),250_500m,15073.57142857143,9879.75,-5193.821428571429,49148,0.2,True,11776.192930289028,11776.192930289028,0.0,-5193.821428571429
3024,ROCAFORT - TAMARIT (mar),250_500m,4450.857142857143,3310.7916666666665,-1140.0654761904766,51906,3.0,False,4188.7518716147015,4188.7518716147015,0.0,-1140.0654761904766
3026,AV. PARAL·LEL - ENTENÇA (Mar),500_1000m,13376.333333333334,12648.91304347826,-727.4202898550739,33574,0.2,False,0.0,0.0,0.0,-727.4202898550739
4069,MALLORCA - BALMES  (sentit Llobregat),250_500m,15692.714285714286,15978.25,285.53571428571377,54920,3.1,False,26596.12782739363,26596.12782739363,0.0,285.53571428571377
