seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,node_x,node_y,snap_m,snapped,egress_connector
2078,7,la Dreta de l'Eixample,Eixample,430438.3111212303,4582586.858648703,37.46056595516024,1474.0,430454.3,4582602.3,22.2,True,False
2079,7,la Dreta de l'Eixample,Eixample,430193.64072830987,4582356.958742288,27.20952206538201,1490.0,430197.2,4582362.7,6.8,True,False
2080,7,la Dreta de l'Eixample,Eixample,430157.11973138986,4582883.476625384,370.5003411308097,1596.0,430168.7,4582896.9,17.7,True,False
2081,7,la Dreta de l'Eixample,Eixample,429916.86745077686,4582651.929651878,377.0820135665623,2170.0,429896.9,4582684.3,38.0,True,False
2082,7,la Dreta de l'Eixample,Eixample,429924.5214648499,4583127.798638599,478.3682304369688,916.0,429925.5,4583128.8,1.4,True,False
2083,7,la Dreta de l'Eixample,Eixample,429643.3606425388,4582916.218272116,757.3569908203755,1915.0,429656.6,4582896.8,23.5,True,False
2084,8,l'Antiga Esquerra de l'Eixample,Eixample,429458.2024344328,4582668.986262148,713.2881038746622,2065.0,429460.2,4582670.6,2.6,True,False
2085,8,l'Antiga Esquerra de l'Eixample,Eixample,429268.6508336872,4582846.686996976,966.8803635066292,1413.0,429272.3,4582857.1,11.0,True,False
2086,8,l'Antiga Esquerra de l'Eixample,Eixample,429098.7192923634,4582746.748939743,946.0631502669256,1404.0,429139.0,4582725.7,45.4,True,False
2087,8,l'Antiga Esquerra de l'Eixample,Eixample,429315.007009349,4582528.177551821,656.0036377302324,1425.0,429342.5,4582557.9,40.5,True,False
2088,8,l'Antiga Esquerra de l'Eixample,Eixample,429550.37535961694,4582478.114807203,513.1053421924489,1679.0,429585.0,4582419.9,67.7,True,False
2089,8,l'Antiga Esquerra de l'Eixample,Eixample,429644.0709021472,4582382.991042257,379.5893699661517,1753.0,429682.7,4582440.7,69.4,True,False
2090,8,l'Antiga Esquerra de l'Eixample,Eixample,429738.0246539538,4582287.770625799,245.82253910485016,1739.0,429787.8,4582265.8,54.4,True,False
2091,8,l'Antiga Esquerra de l'Eixample,Eixample,429977.9921953944,4582137.490243137,30.08784411774981,2269.0,429910.3,4582207.0,97.0,True,True
2092,8,l'Antiga Esquerra de l'Eixample,Eixample,429833.888450877,4581997.361558823,27.392804294554526,1759.0,429768.6,4581969.0,71.2,True,True
2093,8,l'Antiga Esquerra de l'Eixample,Eixample,429686.7782244857,4581956.350993267,0.7693654037945239,1676.0,429716.2,4581960.9,29.8,True,True
2094,8,l'Antiga Esquerra de l'Eixample,Eixample,429784.2275885468,4581761.43493303,208.2955688074016,1503.0,429814.6,4581729.8,43.9,True,False
2095,8,l'Antiga Esquerra de l'Eixample,Eixample,429593.8547984511,4581668.673166266,158.26552492046744,1512.0,429565.3,4581650.5,33.8,True,False
2096,8,l'Antiga Esquerra de l'Eixample,Eixample,429583.199333985,4581868.910549244,25.315873411464928,1408.0,429530.8,4581828.8,66.0,True,True
2097,8,l'Antiga Esquerra de l'Eixample,Eixample,429427.9311504802,4581835.482436947,75.42159684830477,1119.0,429395.1,4581857.9,39.8,True,False
2098,8,l'Antiga Esquerra de l'Eixample,Eixample,429499.7239750871,4582147.91210329,233.3313350730816,1446.0,429529.3,4582171.7,38.0,True,False
2099,8,l'Antiga Esquerra de l'Eixample,Eixample,429398.7494411547,4582061.885117231,239.155928283104,1615.0,429398.1,4582046.4,15.5,True,False
2100,8,l'Antiga Esquerra de l'Eixample,Eixample,429290.9399572392,4581981.053326662,209.2792867712692,1342.0,429305.6,4581960.2,25.5,True,False
2101,8,l'Antiga Esquerra de l'Eixample,Eixample,429263.2615725124,4582197.304920688,402.0808909019356,2181.0,429315.5,4582239.0,66.8,True,False
2102,8,l'Antiga Esquerra de l'Eixample,Eixample,429225.49840572657,4582441.365998378,629.7558086151687,1385.0,429220.0,4582438.4,6.2,True,False
2103,8,l'Antiga Esquerra de l'Eixample,Eixample,429082.0598406757,4582300.5992380185,505.895719270527,1650.0,429075.1,4582294.6,9.2,True,False
2104,8,l'Antiga Esquerra de l'Eixample,Eixample,428886.6588432409,4582390.448466178,655.2538685697206,1170.0,428836.3,4582347.8,66.0,True,False
2105,8,l'Antiga Esquerra de l'Eixample,Eixample,429031.2650074136,4582531.442739263,742.2174685024564,2083.0,429028.3,4582537.4,6.7,True,False
2106,8,l'Antiga Esquerra de l'Eixample,Eixample,428932.7520054111,4582724.468649336,952.775191996457,1442.0,428908.2,4582694.5,38.7,True,False
2107,8,l'Antiga Esquerra de l'Eixample,Eixample,428814.08469031984,4582654.500598991,925.4475556726716,1630.0,428818.6,4582605.9,48.8,True,False
2108,8,l'Antiga Esquerra de l'Eixample,Eixample,428697.88990959217,4582582.355408342,915.041614906006,1596.0,428651.3,4582630.3,66.9,True,False
2109,8,l'Antiga Esquerra de l'Eixample,Eixample,428563.148247218,4582513.984945072,939.9006936818056,2101.0,428552.5,4582535.7,24.2,True,False
2110,9,la Nova Esquerra de l'Eixample,Eixample,428707.0471659316,4582260.398846643,656.5868544187936,1852.0,428686.3,4582284.1,31.5,True,False
2111,9,la Nova Esquerra de l'Eixample,Eixample,428460.4149546151,4582245.113486046,795.9349445136321,1848.0,428456.2,4582242.8,4.8,True,False
2112,9,la Nova Esquerra de l'Eixample,Eixample,428395.4707840874,4582082.042925435,701.1616685447043,1272.0,428356.1,4582071.4,40.8,True,False
2113,9,la Nova Esquerra de l'Eixample,Eixample,428552.4539794808,4582062.403200946,591.8290177018029,2188.0,428534.8,4582082.6,26.8,True,False
2114,9,la Nova Esquerra de l'Eixample,Eixample,428646.7792009886,4581966.77505521,462.16664556569833,1671.0,428621.9,4581993.6,36.6,True,False
2115,9,la Nova Esquerra de l'Eixample,Eixample,428788.0836856406,4581917.939945952,368.38818296385415,1337.0,428821.8,4581978.9,69.7,True,False
2116,9,la Nova Esquerra de l'Eixample,Eixample,428883.2602957173,4582011.862938213,361.5641930386188,990.0,428938.8,4581976.6,65.8,True,False
2117,9,la Nova Esquerra de l'Eixample,Eixample,428978.48651268246,4582105.950872201,362.4691743167032,1217.0,429028.5,4582065.9,64.1,True,False
2118,9,la Nova Esquerra de l'Eixample,Eixample,429135.1489965788,4581948.3836284485,150.83977971983245,1444.0,429129.2,4581970.5,22.9,True,False
2119,9,la Nova Esquerra de l'Eixample,Eixample,428977.3222013769,4581916.331451191,230.95387488027305,1267.0,428938.8,4581976.6,71.5,True,False
2120,9,la Nova Esquerra de l'Eixample,Eixample,428881.86822905735,4581822.33037361,266.6703004238337,1163.0,428919.6,4581766.4,67.5,True,False
2121,9,la Nova Esquerra de l'Eixample,Eixample,428993.95779297146,4581760.585098788,190.26885813120745,1262.0,429020.7,4581775.2,30.5,True,False
2122,9,la Nova Esquerra de l'Eixample,Eixample,428786.5594814432,4581728.915089938,187.21572629898984,1026.0,428824.1,4581674.1,66.4,True,False
2123,9,la Nova Esquerra de l'Eixample,Eixample,428693.0454837773,4581824.188439007,315.26242756583235,1093.0,428763.9,4581848.2,74.8,True,False
2124,9,la Nova Esquerra de l'Eixample,Eixample,428504.5240872224,4581825.818798933,445.6970769467932,1083.0,428442.3,4581795.6,69.2,True,False
2125,9,la Nova Esquerra de l'Eixample,Eixample,428387.8535571781,4581888.71775367,577.0296353796075,1670.0,428345.7,4581892.8,42.4,True,False
2126,9,la Nova Esquerra de l'Eixample,Eixample,428380.112564612,4581695.027130853,499.180708898742,1464.0,428317.7,4581693.3,62.4,True,False
2127,9,la Nova Esquerra de l'Eixample,Eixample,428467.4904869748,4581599.246216141,394.5338025340564,1156.0,428519.1,4581560.6,64.5,True,False
2128,9,la Nova Esquerra de l'Eixample,Eixample,428702.7538522174,4581627.071679524,172.05877528194594,1300.0,428732.2,4581577.2,57.9,True,False
2129,9,la Nova Esquerra de l'Eixample,Eixample,428534.1453829169,4581505.000887541,329.62617191885226,1523.0,428549.7,4581492.1,20.2,True,False
2130,9,la Nova Esquerra de l'Eixample,Eixample,428455.3299831805,4581294.354319608,449.1466372515566,1104.0,428414.7,4581250.0,60.2,True,False
2131,9,la Nova Esquerra de l'Eixample,Eixample,428588.6404947374,4581163.329055222,294.1180958379024,1121.0,428540.2,4581123.3,62.8,True,False
2132,9,la Nova Esquerra de l'Eixample,Eixample,428686.5892997233,4581257.6075168485,220.79559121579533,1012.0,428758.7,4581277.5,74.8,True,False
2133,9,la Nova Esquerra de l'Eixample,Eixample,428572.0865390837,4581370.787125107,342.4141819202808,821.0,428542.8,4581308.9,68.5,True,False
2134,9,la Nova Esquerra de l'Eixample,Eixample,428682.81708665664,4581447.383916796,207.8836648240357,1454.0,428640.0,4581486.5,58.0,True,False
2135,9,la Nova Esquerra de l'Eixample,Eixample,428830.42554754246,4581397.482771545,132.46587674743117,2095.0,428815.9,4581411.1,19.9,True,False
2136,9,la Nova Esquerra de l'Eixample,Eixample,428791.253534026,4581527.487314774,74.38344580669089,881.0,428813.2,4581584.6,61.2,True,False
2137,9,la Nova Esquerra de l'Eixample,Eixample,428947.9619227722,4581561.3661540365,66.2580862776641,1438.0,428898.7,4581557.0,49.5,True,False
