station_id,desc,lon,lat,dist_m_nearest_axis,nearest_axis,dist_m_that_axis,distance_bin,years_with_counts,n_years_with_counts,distance_metric
4015,MUNTANER - ROSSELLÓ  (sentit mar),2.1544218274295,41.3903713401314,581.5,consell_de_cent,581.5,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4038,SARDENYA - CASP  (sentit mar),2.18173768883239,41.3970756592755,588.9,consell_de_cent,588.9,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5033,VIA LAIETANA - RAMON MAS (pujada),2.17408730045201,41.3875440238147,592.0,girona,592.0,500_1000m,"2024,2025",2,euclidean_utm31n_interim
5034,VIA LAIETANA - FONTANELLA (baixada),2.17403902069268,41.3874957276319,597.0,girona,597.0,500_1000m,"2024,2025",2,euclidean_utm31n_interim
5014,PELAI - BALMES,2.16922932842103,41.3855471554975,601.3,consell_de_cent,601.3,500_1000m,"2017,2018,2019,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
4020,MARINA - GRAN VIA (Baixada),2.1817417074382,41.3986563805349,607.6,consell_de_cent,607.6,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
6005,CÒRSEGA - NÀPOLS  (sentit Llobregat),2.16818331001933,41.4031772143077,611.6,girona,611.6,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5012,FONTANELLA - PL. CATALUNYA,2.17174353946815,41.3872745114631,616.9,consell_de_cent,616.9,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4083,MARINA - CASP (Pujada),2.18183500793533,41.398739728411,617.5,consell_de_cent,617.5,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
6004,ROSSELLÓ - NÀPOLS (sentit Besòs),2.17019732723134,41.4029424426241,622.8,girona,622.8,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5022,VIA LAIETANA - COMTAL (Pujada),2.174518411,41.387268706,625.8,girona,625.8,500_1000m,"2017,2019,2020,2021,2022",5,euclidean_utm31n_interim
3028,AV. PARAL·LEL -  JAUME FABRA (Pujada),2.16029419260348,41.375029348858,638.5,rocafort,638.5,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
4040,BALMES - ROSSELLÓ (baixada),2.15768899888382,41.3930505058183,670.8,consell_de_cent,670.8,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5017,PG. LLUÍS COMPANYS - ALMOGÀVERS (Pujada),2.18142013340698,41.3910021306038,679.3,girona,679.3,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4086,JARDINS SALVADOR ESPRIU -DIAGONAL  (sentit Llobregat),2.15920458873656,41.3970883113916,681.1,girona,681.1,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4108,ALI BEI - SICILIA (sentit Llobregat),2.18183931724049,41.3942980429187,683.6,consell_de_cent,683.6,500_1000m,"2022,2023,2024,2025",4,euclidean_utm31n_interim
4054,LEPANT - DIPUTACIÓ  (sentit mar),2.18152930913028,41.4007236955616,685.9,consell_de_cent,685.9,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2001,PARÍS - VILADOMAT (sentit Besòs),2.1465047471315,41.3885296827205,691.7,borrell,691.7,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4096,ROSSELLÓ - ARIBAU (sentit Besòs),2.15547146519011,41.391862456137,694.9,consell_de_cent,694.9,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4039,ROSSELLÓ - BALMES (sentit Besòs),2.15782762359234,41.3936544186481,709.5,consell_de_cent,709.5,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5020,ALMOGÀVERS - ROGER DE FLOR  (sentit Llobregat),2.18214874228289,41.3912139162087,730.8,girona,730.8,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4076,ARAGÓ - PADILLA (sentit Llobregat),2.17932605908427,41.4029586518706,737.7,consell_de_cent,737.7,500_1000m,"2017,2019,2020,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
3030,VILADOMAT - PARLAMENT  (sentit mar),2.16244637583804,41.3757914645701,744.2,rocafort,744.2,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5032,VIA LAIETANA - PL. ANTONI MAURA (pujada),2.17577944628798,41.3862530741907,756.2,girona,756.2,500_1000m,"2024,2025",2,euclidean_utm31n_interim
4006,PARÍS - VILLARROEL,2.14982266490774,41.3910511523403,758.2,borrell,758.2,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
5031,VIA LAIETANA - DR. JOAQUIM POU (baixada),2.17572829566124,41.3862189614993,758.8,girona,758.8,500_1000m,"2024,2025",2,euclidean_utm31n_interim
5018,PG. LLUÍS COMPANYS - REC COMTAL (Baixada),2.18177593556833,41.3896230949241,768.3,girona,768.3,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
6007,INDÚSTRIA - NÀPOLS  (sentit Besòs),2.16788571857009,41.404637037895,771.5,girona,771.5,500_1000m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
