station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric
3014,SEPÚLVEDA - CASANOVA  (sentit Llobregat),2.16147246025133,41.3824189800132,368.8,492.0,12.1,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5013,RONDA SANT PERE - GIRONA  (sentit Llobregat),2.17644635091381,41.3902823026524,372.5,415.1,11.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2025",undirected_osm_highway_utm31n
4103,ROGER DE FLOR - MALLORCA (sentit muntanya),2.17055082321167,41.4004330484368,390.8,448.8,16.9,250_500m,250_500m,"2022,2023,2024,2025",undirected_osm_highway_utm31n
4044,PAU CLARIS - PROVENÇA  (sentit mar),2.16347178849809,41.3954885003117,392.8,467.9,7.1,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4013,SARDENYA - CONSELL DE CENT  (sentit mar),2.17812842998448,41.3997627169729,396.1,458.8,26.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5011,RONDA UNIVERSITAT - PL. CATALUNYA  (sentit Llobregat),2.16788359152789,41.387125414742,398.2,479.2,8.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3020,AV. PARAL·LEL - LLEIDA (Baixada),2.15475489159659,41.3749336247802,404.7,570.9,17.0,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4100,VILADOMAT - ROSSELLÓ (sentit mar),2.148490105,41.38623099,414.1,490.1,8.3,250_500m,250_500m,"2022,2023,2024,2025",undirected_osm_highway_utm31n
4091,PAU CLARIS - CASP (sentit mar),2.17155203437734,41.3893950147936,421.4,436.9,20.5,250_500m,250_500m,"2017,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4043,CÒRSEGA - BRUC  (sentit Llobregat),2.16253914686886,41.3989458639609,423.4,527.0,16.5,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3024,ROCAFORT - TAMARIT (mar),2.15788193499247,41.3757853800346,433.1,420.1,18.5,250_500m,250_500m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3001,PG. MANUEL GIRONA - BENET I MATEU (sentit Llobregat),2.151344122,41.375071194,440.1,726.3,19.6,500_1000m,250_500m,"2017,2018,2019,2020,2021",undirected_osm_highway_utm31n
3026,AV. PARAL·LEL - ENTENÇA (Mar),2.156378628652,41.3749387606281,440.7,603.1,13.8,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4069,MALLORCA - BALMES  (sentit Llobregat),2.15928875441747,41.3913375903375,442.2,478.0,13.9,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4102,ROGER DE FLOR - AUSIÀS MARC (sentit muntanya),2.178718473,41.39424292,442.2,486.5,20.4,250_500m,250_500m,"2022,2023,2024,2025",undirected_osm_highway_utm31n
4070,PELAI - RONDA UNIVERSITAT  (sentit Besòs),2.16682285923792,41.3857203495775,444.3,525.1,5.0,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
5019,TRAFALGAR - MENDEZ NÚÑEZ  (sentit Besòs),2.17786829912579,41.3902876037345,455.7,461.8,29.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2025",undirected_osm_highway_utm31n
3022,CREU COBERTA - PL. ESPANYA (Pujada),2.1467520255421,41.3752006812414,459.7,803.2,12.1,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3021,CREU COBERTA - BÉJAR (Baixada),2.14676982982649,41.3751288229608,465.9,803.2,11.8,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4099,BALMES - MALLORCA (baixada),2.15934927414176,41.3917902636396,473.8,480.6,1.9,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4092,ARIBAU - MALLORCA  (sentit muntanya),2.15699493900883,41.3901462977523,477.8,476.1,9.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4074,AV. DIAGONAL - MARINA (Pujada - Gir Aragó),2.177449769,41.401105544,481.0,584.5,59.8,500_1000m,250_500m,"2017,2018,2019,2020,2021",undirected_osm_highway_utm31n
4075,AV. DIAGONAL - MARINA (Pujada - Seguir a Av. Diagonal),2.177413174,41.401174682,486.3,584.5,57.6,500_1000m,250_500m,"2017,2018,2019,2020",undirected_osm_highway_utm31n
