seccio,codi_districte,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop
2075,2,7,la Dreta de l'Eixample,Eixample,431057.0396182298,4582374.626204102,351.42095497508745,1261
2076,2,7,la Dreta de l'Eixample,Eixample,430890.09538572544,4582541.930630688,156.16822472771446,1622
2077,2,7,la Dreta de l'Eixample,Eixample,430552.0804890597,4582171.420012305,411.78992511272895,1758
2078,2,7,la Dreta de l'Eixample,Eixample,430438.31112123025,4582586.8586487025,37.46056595516024,1474
2079,2,7,la Dreta de l'Eixample,Eixample,430193.64072830987,4582356.958742288,27.20952206538201,1490
2080,2,7,la Dreta de l'Eixample,Eixample,430157.11973138986,4582883.476625384,370.5003411308097,1596
2081,2,7,la Dreta de l'Eixample,Eixample,429916.86745077686,4582651.929651878,377.0820135665623,2170
2082,2,7,la Dreta de l'Eixample,Eixample,429924.5214648499,4583127.798638599,478.36823043696876,916
2083,2,7,la Dreta de l'Eixample,Eixample,429643.36064253876,4582916.218272116,757.3569908203755,1915
2084,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429458.2024344328,4582668.986262148,713.2881038746622,2065
2085,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429268.65083368716,4582846.686996976,966.8803635066292,1413
2086,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429098.7192923634,4582746.748939743,946.0631502669255,1404
2087,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429315.007009349,4582528.177551821,656.0036377302324,1425
2088,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429550.37535961694,4582478.114807203,513.1053421924489,1679
2089,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429644.0709021472,4582382.991042257,379.58936996615165,1753
2090,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429738.0246539538,4582287.770625799,245.82253910485016,1739
2091,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429977.9921953944,4582137.490243137,30.08784411774981,2269
2092,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429833.88845087704,4581997.361558823,27.392804294554526,1759
2093,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429686.7782244857,4581956.350993267,0.7693654037945239,1676
2094,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429784.22758854675,4581761.43493303,208.29556880740157,1503
2095,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429593.85479845107,4581668.673166266,158.26552492046744,1512
2096,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429583.199333985,4581868.910549244,25.315873411464928,1408
2097,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429427.93115048023,4581835.482436947,75.42159684830477,1119
2098,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429499.7239750871,4582147.91210329,233.3313350730816,1446
2099,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429398.7494411547,4582061.885117231,239.15592828310398,1615
2100,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429290.93995723914,4581981.053326662,209.27928677126914,1342
2101,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429263.2615725124,4582197.304920688,402.08089090193556,2181
2102,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429225.49840572657,4582441.365998378,629.7558086151687,1385
2103,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429082.0598406757,4582300.5992380185,505.895719270527,1650
2104,2,8,l'Antiga Esquerra de l'Eixample,Eixample,428886.6588432409,4582390.448466178,655.2538685697206,1170
2105,2,8,l'Antiga Esquerra de l'Eixample,Eixample,429031.26500741363,4582531.442739263,742.2174685024564,2083
2106,2,8,l'Antiga Esquerra de l'Eixample,Eixample,428932.7520054111,4582724.468649336,952.775191996457,1442
2107,2,8,l'Antiga Esquerra de l'Eixample,Eixample,428814.08469031984,4582654.500598991,925.4475556726716,1630
2108,2,8,l'Antiga Esquerra de l'Eixample,Eixample,428697.88990959217,4582582.355408342,915.0416149060059,1596
2109,2,8,l'Antiga Esquerra de l'Eixample,Eixample,428563.148247218,4582513.984945072,939.9006936818057,2101
2110,2,9,la Nova Esquerra de l'Eixample,Eixample,428707.0471659316,4582260.398846643,656.5868544187936,1852
2111,2,9,la Nova Esquerra de l'Eixample,Eixample,428460.41495461506,4582245.113486046,795.9349445136321,1848
2112,2,9,la Nova Esquerra de l'Eixample,Eixample,428395.4707840874,4582082.042925435,701.1616685447043,1272
2113,2,9,la Nova Esquerra de l'Eixample,Eixample,428552.4539794808,4582062.403200946,591.8290177018029,2188
2114,2,9,la Nova Esquerra de l'Eixample,Eixample,428646.7792009886,4581966.77505521,462.16664556569833,1671
2115,2,9,la Nova Esquerra de l'Eixample,Eixample,428788.0836856406,4581917.939945952,368.38818296385415,1337
2116,2,9,la Nova Esquerra de l'Eixample,Eixample,428883.26029571734,4582011.862938213,361.5641930386188,990
2117,2,9,la Nova Esquerra de l'Eixample,Eixample,428978.48651268246,4582105.950872201,362.46917431670323,1217
2118,2,9,la Nova Esquerra de l'Eixample,Eixample,429135.1489965788,4581948.3836284485,150.83977971983245,1444
2119,2,9,la Nova Esquerra de l'Eixample,Eixample,428977.3222013769,4581916.331451191,230.95387488027305,1267
2120,2,9,la Nova Esquerra de l'Eixample,Eixample,428881.86822905735,4581822.33037361,266.6703004238337,1163
