seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,snap_m,snapped,d_axis_net_m,egress_connector,A_car15_pre,A_car15_post,dA_car15,pct_car15,A_car15_drop,dA_car15_drop,pct_car15_drop,A_car15_turn_pre,A_car15_turn_post,pct_car15_turn,A_car30_pre,A_car30_post,dA_car30,pct_car30,H_car_pre,H_car_post,dH_car,pct_H,n_car15_pre,n_car15_post,n_car30_pre,n_car30_post,A_walk15,n_walk15,band_net,band_euclid
1034,3,la Barceloneta,Ciutat Vella,432389.4626483811,4581050.602351856,2209.40873066272,898.0,52.6,True,2842.688448191737,0.0,1581764.0,1581764.0,0.0,0.0,1580088.0,-1676.0,-0.1059576523425745,1457137.0,1455835.0,-0.08935330034169746,1606885.0,1606885.0,0.0,0.0,1044150.660475227,1042879.1756547459,-1271.484820481157,-0.12177216072462788,1036.0,1028.0,1051.0,1050.0,14342.0,11.0,2-3.5km,2-3.5km
1035,3,la Barceloneta,Ciutat Vella,432428.5195170867,4581212.817639583,2119.115508393046,1179.0,11.9,True,2764.964950187093,0.0,1583572.0,1583572.0,0.0,0.0,1581896.0,-1676.0,-0.10583667809231283,1476035.0,1476035.0,0.0,1606885.0,1606885.0,0.0,0.0,1049465.0126487233,1048201.1523178895,-1263.8603308338206,-0.12042901055309975,1037.0,1029.0,1051.0,1050.0,14342.0,11.0,2-3.5km,2-3.5km
1036,3,la Barceloneta,Ciutat Vella,432610.2201360517,4581663.680949529,1984.799558662559,1182.0,62.4,True,2730.122001266002,0.0,1592234.0,1592234.0,0.0,0.0,1590558.0,-1676.0,-0.10526091014260466,1569324.0,1569324.0,0.0,1606885.0,1606885.0,0.0,0.0,1092519.4538946715,1092336.9126896898,-182.5412049817387,-0.016708279594565213,1042.0,1034.0,1051.0,1050.0,16219.0,12.0,2-3.5km,1-2km
1037,3,la Barceloneta,Ciutat Vella,432260.7822550525,4581374.863716303,1885.8955131994928,1296.0,29.4,True,2432.678448169505,0.0,1585335.0,1585335.0,0.0,0.0,1583659.0,-1676.0,-0.10571898053092879,1489623.0,1489623.0,0.0,1606885.0,1606885.0,0.0,0.0,1064790.1045858648,1063507.6714636146,-1282.4331222502515,-0.12043999251373921,1038.0,1030.0,1051.0,1050.0,34274.0,18.0,2-3.5km,1-2km
1038,3,la Barceloneta,Ciutat Vella,432312.90103457775,4581194.37418496,2051.610195916192,1445.0,0.8,True,2644.0110109554075,0.0,1585335.0,1585335.0,0.0,0.0,1583659.0,-1676.0,-0.10571898053092879,1483005.0,1483005.0,0.0,1606885.0,1606885.0,0.0,0.0,1058326.4337936766,1057052.099476375,-1274.3343173016328,-0.12041032677731146,1038.0,1030.0,1051.0,1050.0,18126.0,13.0,2-3.5km,2-3.5km
1039,3,la Barceloneta,Ciutat Vella,432198.8813217835,4581209.242373935,1964.4103425716603,1315.0,6.2,True,2486.3232718512845,0.0,1585335.0,1585335.0,0.0,0.0,1583659.0,-1676.0,-0.10571898053092879,1492509.0,1492509.0,0.0,1606885.0,1606885.0,0.0,0.0,1057636.6919619492,1056363.2128619116,-1273.479100037599,-0.1204079916776767,1038.0,1030.0,1051.0,1050.0,31187.0,16.0,2-3.5km,1-2km
1040,3,la Barceloneta,Ciutat Vella,432115.9094248079,4581184.9979650425,1930.1382848073367,1062.0,10.8,True,2392.905195704856,0.0,1585335.0,1585335.0,0.0,0.0,1583659.0,-1676.0,-0.10571898053092879,1500037.0,1500037.0,0.0,1606885.0,1606885.0,0.0,0.0,1066287.0378835124,1064885.305447153,-1401.7324363593943,-0.13145920249970514,1038.0,1030.0,1051.0,1050.0,34274.0,18.0,2-3.5km,1-2km
1041,3,la Barceloneta,Ciutat Vella,432121.8515854089,4581382.1708159335,1784.019273276062,1434.0,46.7,True,2229.141690094904,0.0,1590535.0,1590535.0,0.0,0.0,1588859.0,-1676.0,-0.10537334921897348,1544473.0,1544473.0,0.0,1606885.0,1606885.0,0.0,0.0,1101999.751614867,1100550.4235970268,-1449.328017840162,-0.13151799859449342,1041.0,1035.0,1051.0,1050.0,39608.0,21.0,2-3.5km,1-2km
1042,3,la Barceloneta,Ciutat Vella,432129.4179153336,4581533.813888441,1680.9360567356134,1750.0,32.1,True,2206.228921485875,0.0,1590535.0,1590535.0,0.0,0.0,1588859.0,-1676.0,-0.10537334921897348,1554515.0,1554515.0,0.0,1606885.0,1606885.0,0.0,0.0,1100062.9510439143,1098738.0498897922,-1324.9011541220825,-0.12043866697490412,1041.0,1034.0,1051.0,1050.0,39101.0,21.0,2-3.5km,1-2km
1043,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,432040.096370372,4581965.015920314,1341.7046942223408,1664.0,132.1,True,1519.817760188637,0.0,1594024.0,1594024.0,0.0,0.0,1592348.0,-1676.0,-0.10514270801443391,1580709.0,1580709.0,0.0,1606885.0,1606885.0,0.0,0.0,1146096.8234603233,1144556.8784866226,-1539.9449737006798,-0.13436429995951307,1043.0,1037.0,1051.0,1051.0,45516.0,25.0,1-2km,1-2km
1044,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431714.1684540718,4581934.747696864,1103.7269643179827,1423.0,43.8,True,1336.5220029811067,0.0,1423.0,1423.0,0.0,0.0,1423.0,0.0,0.0,1423.0,1423.0,0.0,1423.0,1423.0,0.0,0.0,1423.0,1423.0,0.0,0.0,1.0,1.0,1.0,1.0,63176.0,34.0,1-2km,1-2km
1045,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431593.959221052,4581768.520833289,1149.472093775161,1950.0,54.7,True,1564.336017104633,0.0,1590535.0,1590535.0,0.0,0.0,1588859.0,-1676.0,-0.10537334921897348,1508899.0,1507639.0,-0.08350459507230107,1606885.0,1606885.0,0.0,0.0,1086271.6887974092,1084817.0278188672,-1454.6609785419423,-0.13391318153125853,1041.0,1034.0,1051.0,1051.0,61684.0,34.0,1-2km,1-2km
1046,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431506.4949270449,4581632.108989717,1217.3120739365058,1834.0,29.8,True,1523.6270569607846,0.0,1586899.0,1586899.0,0.0,0.0,1585223.0,-1676.0,-0.10561478707844671,1549667.0,1549667.0,0.0,1606885.0,1606885.0,0.0,0.0,1114904.245867995,1114647.3155084439,-256.9303595512174,-0.02304506064116631,1039.0,1033.0,1051.0,1051.0,61135.0,33.0,1-2km,1-2km
1047,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431321.0294111792,4581864.421155228,925.46354638972,1744.0,72.1,True,1382.7235967928236,0.0,1592279.0,1592279.0,0.0,0.0,1590603.0,-1676.0,-0.1052579353241486,1565889.0,1565889.0,0.0,1608629.0,1608629.0,0.0,0.0,1117280.3614701848,1117030.4801674113,-249.88130277348682,-0.02236513872352307,1042.0,1037.0,1052.0,1052.0,65150.0,34.0,1-2km,500m-1km
1048,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431443.8668554011,4581990.416581013,881.8217617181681,2105.0,41.3,True,1064.071961296418,0.0,1586899.0,1586899.0,0.0,0.0,1585223.0,-1676.0,-0.10561478707844671,1449721.0,1449721.0,0.0,1606885.0,1606885.0,0.0,0.0,1080285.82828813,1079969.0025478825,-316.8257402474992,-0.029327954875568038,1039.0,1033.0,1051.0,1050.0,67783.0,36.0,1-2km,500m-1km
1049,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431233.6647810888,4582020.03754916,747.3652324385436,1476.0,50.9,True,1106.8871932618054,0.0,1590535.0,1590535.0,0.0,0.0,1588859.0,-1676.0,-0.10537334921897348,1561221.0,1561221.0,0.0,1606885.0,1606885.0,0.0,0.0,1106471.9149109419,1106222.8617423628,-249.0531685790047,-0.022508765493523673,1041.0,1035.0,1051.0,1051.0,70986.0,37.0,1-2km,500m-1km
1050,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431141.7258880728,4582078.840686461,657.5510541101671,1569.0,63.8,True,851.5256822878841,0.0,1596941.0,1596941.0,0.0,0.0,1595265.0,-1676.0,-0.1049506525288035,1575349.0,1572250.0,-0.19671831448142602,1610223.0,1610223.0,0.0,0.0,1131708.9914512301,1131376.531206349,-332.460244881222,-0.029376831623021443,1045.0,1040.0,1053.0,1053.0,70996.0,37.0,500m-1km,500m-1km
1051,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431284.7312299071,4582219.351890456,603.2699288161522,1769.0,58.1,True,616.0313579753655,0.0,1598821.0,1598821.0,0.0,0.0,1597145.0,-1676.0,-0.10482724457584683,1583579.0,1583579.0,0.0,1608654.0,1608654.0,0.0,0.0,1170774.6923804895,1170430.2783752566,-344.4140052329749,-0.02941761617110903,1046.0,1041.0,1052.0,1052.0,68585.0,37.0,500m-1km,500m-1km
1052,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431159.7296505914,4582267.583636728,493.4369622403361,2511.0,40.4,True,581.4603426238914,0.0,1599042.0,1599042.0,0.0,0.0,1597366.0,-1676.0,-0.10481275663803702,1581810.0,1581810.0,0.0,1606885.0,1606885.0,0.0,0.0,1182067.9722125398,1181719.7345508076,-348.2376617321279,-0.02946003697911829,1046.0,1042.0,1051.0,1051.0,75495.0,41.0,500m-1km,250-500m
1053,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431445.8496028289,4582229.871943877,706.4663679092259,1873.0,10.3,True,743.9974774992664,0.0,1593603.0,1593603.0,0.0,0.0,1591927.0,-1676.0,-0.10517048474431838,1567327.0,1567327.0,0.0,1606885.0,1606885.0,0.0,0.0,1133980.7573506185,1133646.7838767176,-333.9734739009291,-0.029451423380517466,1043.0,1038.0,1051.0,1051.0,75023.0,41.0,500m-1km,500m-1km
1054,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431544.17012753006,4582141.701845812,838.5244369217697,1219.0,36.4,True,1103.2184844129579,0.0,1595683.0,1595683.0,0.0,0.0,1594007.0,-1676.0,-0.10503339322409276,1578901.0,1578901.0,0.0,1606885.0,1606885.0,0.0,0.0,1145282.2696408753,1143746.3981789676,-1535.8714619076345,-0.13410418572089094,1044.0,1038.0,1051.0,1051.0,70163.0,38.0,1-2km,500m-1km
1055,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431627.40512533416,4582354.018588233,790.2185968059839,1281.0,40.0,True,922.8639392361148,0.0,1597052.0,1597052.0,0.0,0.0,1595376.0,-1676.0,-0.1049433581373681,1580709.0,1580709.0,0.0,1606885.0,1606885.0,0.0,0.0,1162818.4594881465,1161258.1391006606,-1560.3203874859028,-0.13418434965099627,1045.0,1040.0,1051.0,1051.0,77224.0,43.0,500m-1km,500m-1km
2001,5,el Fort Pienc,Eixample,431711.9247585261,4582788.575849686,802.2116510418226,1339.0,107.4,True,894.9402238604663,0.0,1599042.0,1599042.0,0.0,0.0,1597366.0,-1676.0,-0.10481275663803702,1585170.0,1583517.0,-0.10427903631787126,1606885.0,1606885.0,0.0,0.0,1185749.612748232,1183998.8990655832,-1750.7136826487258,-0.14764615259633668,1046.0,1041.0,1051.0,1051.0,75561.0,46.0,500m-1km,500m-1km
2002,5,el Fort Pienc,Eixample,431513.2867800745,4582859.7763558505,603.3363221895833,3665.0,36.3,True,743.2327715391009,0.0,1601984.0,1601984.0,0.0,0.0,1600308.0,-1676.0,-0.10462027086412848,1587042.0,1585170.0,-0.11795529040819336,1606885.0,1606885.0,0.0,0.0,1195717.6555962272,1193948.6220100857,-1769.0335861414205,-0.1479474337325326,1048.0,1043.0,1051.0,1051.0,81337.0,50.0,500m-1km,500m-1km
2003,5,el Fort Pienc,Eixample,431704.5917852472,4583045.899108369,710.458387235548,1167.0,37.1,True,1013.1417846845393,0.0,1599042.0,1599042.0,0.0,0.0,1597366.0,-1676.0,-0.10481275663803702,1588741.0,1588741.0,0.0,1606885.0,1606885.0,0.0,0.0,1184636.023043653,1182893.31824274,-1742.7048009131104,-0.14710888129466354,1046.0,1041.0,1051.0,1051.0,76609.0,47.0,1-2km,500m-1km
2004,5,el Fort Pienc,Eixample,431563.3645494582,4583095.670613094,562.3855215788152,1492.0,72.2,True,869.7387568241971,0.0,1601984.0,1601984.0,0.0,0.0,1600308.0,-1676.0,-0.10462027086412848,1589204.0,1589204.0,0.0,1606885.0,1606885.0,0.0,0.0,1184905.004763473,1184588.4567862628,-316.54797721025534,-0.026715051074785834,1048.0,1043.0,1051.0,1051.0,84741.0,52.0,500m-1km,500m-1km
