intervention_id,intervention_name,id_priority,match_role,station_id,station_desc,n_lanes,lon,lat,n_years,years,n_pre,n_post,has_pre_post,pre_years,post_years
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4029,ARAGÓ - MUNTANER (sentit Llobregat),5,2.15817038508185,41.3870958130359,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),5,2.16298401194208,41.3907020230178,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4057,ARAGÓ - INDEPENDÈNCIA (sentit Llobregat),4,2.18431180885805,41.4067177814795,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4076,ARAGÓ - PADILLA (sentit Llobregat),4,2.17932605908427,41.4029586518706,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4077,ARAGÓ - NÀPOLS (sentit Llobregat),5,2.17395160686523,41.3989680268534,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,4079,ARAGÓ - BAILÈN (sentit Llobregat),5,2.17055853655275,41.3964247174287,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,cross_street,4090,ARIBAU - ARAGÓ  (sentit muntanya),4,2.15924172322705,41.3884915607715,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,cross_street,4095,VILLARROEL - ARAGÓ  (sentit mar),3,2.1569179201233,41.3850904392878,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,cross_street,4098,PG. GRÀCIA - ARAGÓ (Baixada),2,2.16520071322411,41.3917338254457,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,10001,ARAGÓ - NAVAS (Llobregat),2,2.19073536914761,41.4116798138391,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,on_street,10005,ARAGÓ - BILBAO (Besòs),2,2.19188571810162,41.4122858738082,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
