station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other
4001,URGELL - BUENOS AIRES  (sentit mar),1_2km,9491.0,6040.826086956522,-3450.173913043478,59880,1.4,False
3007,GRAN VIA - FARELL (Sortida),1_2km,45696.28571428572,42433.17391304348,-3263.1118012422376,56438,18.5,True
4005,AV. DIAGONAL - RAMBLA CATALUNYA (Pujada),1_2km,11380.285714285714,12500.625,1120.3392857142862,30243,10.3,False
4089,BÀLMES - PARÍS (baixada),500_1000m,27766.166666666668,25285.875,-2480.291666666668,32486,1.6,False
4088,PARÍS - ARIBAU  (sentit Besòs),1_2km,12399.42857142857,10907.958333333334,-1491.4702380952367,31585,2.1,False
4087,MUNTANER - LONDRES  (sentit mar),1_2km,12639.142857142857,9160.625,-3478.517857142857,21576,1.8,False
5027,PG. PUJADES - WELLINGTON (Llobregat),1_2km,2132.0,2209.478260869565,77.47826086956502,61122,0.2,False
3027,AV. PARAL·LEL - COMTE BORRELL (Muntanya),1_2km,11445.0,10380.944444444443,-1064.0555555555547,43773,1.7,False
5026,PG. PUJADES - ROGER DE FLOR (Besós),1_2km,4824.0,3661.55,-1162.4499999999998,46681,0.5,False
2004,NUMÀNCIA - MARQUES DE SENTMENAT V (sentit mar),1_2km,23720.0,24701.09523809524,981.0952380952368,31381,0.3,False
4018,AV. MERIDIANA - LEPANT (Baixada),1_2km,4901.428571428572,5761.041666666667,859.6130952380954,40814,0.3,False
4056,CONSELL DE CENT - CASTILLEJOS,1_2km,7866.285714285715,8570.125,703.8392857142853,32146,2.6,False
1015,AV. SARRIÀ - AV. JOSEP TARRADELLAS,1_2km,36414.57142857143,25947.5,-10467.071428571428,29786,0.9,False
4014,AV. DIAGONAL - MUNTANER (Baixada),1_2km,10620.857142857143,10562.375,-58.48214285714312,53149,15.5,False
8039,VIA AUGUSTA - LA GRANADA DEL PENEDÉS (Baixada),1_2km,6499.142857142857,5995.285714285715,-503.8571428571422,37171,0.6,False
8038,VIA AUGUSTA - LUÍS ANTÚNEZ (Pujada),1_2km,5755.857142857143,4210.958333333333,-1544.89880952381,60839,0.4,False
2018,PG. SANT ANTONI - ALCOLEA (Besòs),1_2km,3570.2,4302.583333333333,732.3833333333332,13651,7.6,False
4093,ARIBAU - DIAGONAL  (sentit muntanya),1_2km,14914.285714285714,14936.083333333334,21.797619047620174,16360,0.5,False
3034,AV. PARAL·LEL - RONDA SANT PAU (Baixada),1_2km,13929.285714285714,17899.25,3969.9642857142862,21072,8.8,False
4036,BALMES - LA GRANADA (baixada),1_2km,28424.14285714286,26208.33333333333,-2215.8095238095266,30471,0.2,False
3011,GRAN VIA - TRAJÀ (Entrada),1_2km,39323.0,37067.782608695656,-2255.2173913043443,56430,0.2,True
3036,AV. PARAL·LEL - ABAT SAFONT (Pujada),1_2km,22014.42857142857,19335.130434782608,-2679.2981366459644,21072,7.3,False
8001,TRAVESSERA DE GRÀCIA - BALMES,1_2km,16401.6,11688.42857142857,-4713.171428571428,45882,0.7,False
2002,ENTENÇA - DEU I MATA  (sentit muntanya),1_2km,21646.42857142857,23501.5,1855.0714285714275,51968,0.9,False
3008,GRAN VIA - MOIANÈS (Sortida),1_2km,34576.57142857143,34739.34782608696,162.77639751553215,36912,1.2,True
1002,AV. DIAGONAL - AV. SARRIÀ (Entrada),1_2km,15584.42857142857,14341.0,-1243.4285714285706,7388,5.3,False
4085,VALÈNCIA - DOS DE MAIG  (sentit Besòs),1_2km,13226.857142857143,12733.181818181818,-493.6753246753251,49258,1.0,True
1005,AV. DIAGONAL - BEETHOVEN (Sortida),1_2km,13290.57142857143,20064.416666666668,6773.845238095239,7388,5.0,False
6022,CÒRSEGA - CARTAGENA  (sentit Llobregat),1_2km,9401.2,8284.78947368421,-1116.4105263157908,3023,2.5,False
4057,ARAGÓ - INDEPENDÈNCIA (sentit Llobregat),1_2km,37049.16666666666,34584.857142857145,-2464.3095238095198,49810,2.3,True
6023,ROSSELLÓ - CASTILLEJOS (sentit Besòs),1_2km,20444.571428571428,16546.916666666668,-3897.65476190476,44871,0.8,False
